N,NThreads,Run,ExecutionTime
512,2,1,0.030057
512,2,2,0.031109
512,2,3,0.031039
512,2,4,0.031521
512,2,5,0.033559
512,2,6,0.032250
512,2,7,0.029925
512,2,8,0.037439
512,2,9,0.037142
512,3,0,0.029857
512,3,1,0.031866
512,3,2,0.031833
512,3,3,0.031207
512,3,4,0.030059
512,3,5,0.031978
512,3,6,0.024427
512,3,7,0.025305
512,3,8,0.020473
512,3,9,0.037314
512,4,0,0.025432
512,4,1,0.029489
512,4,2,0.025430
512,4,3,0.018575
512,4,4,0.031370
512,4,5,0.027875
512,4,6,0.030938
512,4,7,0.024580
512,4,8,0.025080
512,4,9,0.030929
512,5,0,0.026056
512,5,1,0.024987
512,5,2,0.025520
512,5,3,0.026828
512,5,4,0.026308
512,5,5,0.024417
512,5,6,0.025535
512,5,7,0.032219
512,5,8,0.036449
512,5,9,0.026478
512,6,0,0.020782
512,6,1,0.022643
512,6,2,0.023867
512,6,3,0.023916
512,6,4,0.029321
512,6,5,0.029637
512,6,6,0.023738
512,6,7,0.022142
512,6,8,0.030202
512,6,9,0.020612
512,7,0,0.029724
512,7,1,0.021504
512,7,2,0.029624
512,7,3,0.024296
512,7,4,0.027142
512,7,5,0.021843
512,7,6,0.021956
512,7,7,0.029217
512,7,8,0.024216
512,7,9,0.022026
512,8,0,0.020774
512,8,1,0.025816
512,8,2,0.020684
512,8,3,0.022792
512,8,4,0.020908
512,8,5,0.021384
512,8,6,0.026073
512,8,7,0.027556
512,8,8,0.021235
512,8,9,0.021804
512,9,0,0.023856
512,9,1,0.021014
512,9,2,0.020140
512,9,3,0.025343
512,9,4,0.020141
512,9,5,0.023048
512,9,6,0.024235
512,9,7,0.026286
512,9,8,0.019687
512,9,9,0.018958
512,10,0,0.022309
512,10,1,0.023477
512,10,2,0.021920
512,10,3,0.019545
512,10,4,0.022754
512,10,5,0.023785
512,10,6,0.019753
512,10,7,0.022232
512,10,8,0.018932
512,10,9,0.020584
512,11,0,0.024092
512,11,1,0.023204
512,11,2,0.021030
512,11,3,0.019047
512,11,4,0.021836
512,11,5,0.021418
512,11,6,0.019426
512,11,7,0.016650
512,11,8,0.024845
512,11,9,0.018068
512,12,0,0.018363
512,12,1,0.022478
512,12,2,0.022049
512,12,3,0.016488
512,12,4,0.022657
512,12,5,0.022109
